,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S0-T25,S0-T26,S0-T27,S0-T28,S0-T29,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24,S1-T25,S1-T26,S1-T27,S1-T28,S1-T29
bang,6.11531403054844E-7,0.005083358807004449,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,0.004277140943810462,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.1138581125816243E-4,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,0.0010126054713066454,1.376388604052914E-6,0.029710463318108827,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
curv,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.687433770250789E-4,0.0019162279899524915,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,0.005231501996280186,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,0.01586103317954956,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
playback,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,0.011283249395307744,9.57635177387552E-7,6.573589028416968E-7,0.0020097251679068117,6.599618938002519E-7,7.786712597888711E-7,4.1138581125816243E-4,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,0.0021130246388107914,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,0.001455917409776027,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,0.0029638364546945846,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
stick,0.010396645383335403,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,0.002124994423748388,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,0.005358150972483306,6.599618938002519E-7,7.786712597888711E-7,0.004110159339053829,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,0.0028278267195231232,9.476526170848499E-7,0.00347840753095661,8.024143041583517E-7,7.048109508329231E-4,0.003401487785319258,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,0.004866968553018426,0.0025669017201191986,1.204037378136367E-6,0.0012289159880619588,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,0.0061314342897512645,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,0.003894676323975814,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
band,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.706770205548858E-4,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,0.0061321408295618,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
lumix,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,0.0042253451707775945,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
usbav,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,0.009822734086397335,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
benefit,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.032167184625099E-4,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,0.0030357932261650777,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,0.007795317198175014,1.159367866264598E-6
highest,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,0.0020097251679068117,6.599618938002519E-7,7.786712597888711E-7,0.0016443103205233847,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,0.003427128797955647,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,0.00254405693805393,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,0.007367357486872944,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,0.0011605272341308624
qualiti,0.004892862755841806,0.007987720359356654,0.004127980817940673,0.013171182658364061,0.005440369697108151,0.015028654422275045,0.1299999401320004,0.04824415112136605,0.009205948851433787,9.097202701141426E-7,0.00974413129881528,0.013019000398354854,0.06416251452014338,0.006574246387319809,0.03415461289184116,0.0494978019969127,0.02258224520513705,0.01027478188537994,0.006179880109584437,0.014546579405937905,0.03834005577843554,0.010366185185429483,0.005686863355126185,0.023474251872871638,8.024143041583517E-7,0.01830748205055628,0.03332859487471084,0.04296754607974127,0.028097522064582974,0.014945760809541495,0.004981988960091786,0.009959521292397671,1.6115022585204154E-6,1.2713927726406447E-6,0.0014883895209051071,0.0061321408295618,0.010116950368169592,0.0013777649926569667,1.5636262995689084E-6,0.013623217279290004,9.731990707895273E-7,1.2828094553319335E-6,0.0012052414155145031,0.0012289159880619588,0.0027886985933865613,1.2844571691334667E-6,0.004146815076087114,0.008169750006466641,0.0014147630024634683,0.04137836972196298,1.454462946829198E-6,0.006605109962258087,0.006345364838653915,0.00908584769881862,1.4481441308890593E-6,9.876162794717043E-7,0.008340062178700529,0.012474724165984098,1.5587516892971434E-6,0.023188516693158225
