,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S0-T25,S0-T26,S0-T27,S0-T28,S0-T29,S0-T30,S0-T31,S0-T32,S0-T33,S0-T34,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24,S1-T25,S1-T26,S1-T27,S1-T28,S1-T29,S1-T30,S1-T31,S1-T32,S1-T33,S1-T34
bang,7.006534995190013E-7,8.415815336813554E-7,8.141737886518829E-7,1.3346875963477608E-6,9.57635177387552E-7,3.5942275268228213E-7,0.016026103281523693,1.180304494953608E-6,7.260903880880515E-7,1.0579334961845628E-6,9.155505342695142E-7,1.0534754682435087E-6,6.885918915550402E-7,9.257210672823329E-7,9.231573087748872E-7,0.0029242700774381016,1.013953007333922E-6,9.65028338057147E-7,8.708988285539857E-7,8.242399065641642E-7,1.0222450750787896E-6,9.056010519461819E-7,9.928130265011581E-7,6.599618938002519E-7,7.046029597551927E-7,9.668944992405043E-7,5.42229071177868E-7,1.1046806423497E-6,7.992078252036581E-7,1.2266341526840594E-6,1.2654399491799316E-6,1.3694146710871372E-6,1.1373471831890987E-6,9.744318818520832E-7,8.102158496044931E-7,1.5025415490301847E-6,1.6037489234835352E-6,1.9028083548509245E-6,1.1030965021913012E-6,1.7136815191443933E-6,0.03032973620033575,1.947271774879805E-6,1.5935264581165474E-6,1.9210856439190916E-6,1.2276882997621968E-6,1.4034319524966354E-6,1.3323757992589326E-6,1.1982663482473558E-6,1.6325491111586366E-6,1.3878499290114763E-6,1.068902525709778E-6,1.3820955055636254E-6,1.3131303846552836E-6,1.553907377796839E-6,1.299479298645033E-6,1.4980398149022005E-6,1.6405841135677946E-6,2.001845701737002E-6,1.3859264710570046E-6,1.856875732305367E-6,1.7871855223675204E-6,1.5185129506376997E-6,1.08396501394521E-6,1.8098269986372004E-6,1.5611851893483458E-6,1.5048025774258546E-6,1.4439620006959897E-6,1.670734906163174E-6,1.8500052725150267E-6,1.895594448941216E-6
curv,0.0028033146515755248,8.415815336813554E-7,8.141737886518829E-7,1.3346875963477608E-6,9.57635177387552E-7,3.5942275268228213E-7,1.232682353782301E-6,1.180304494953608E-6,7.260903880880515E-7,1.0579334961845628E-6,9.155505342695142E-7,1.0534754682435087E-6,6.885918915550402E-7,9.257210672823329E-7,9.231573087748872E-7,9.744318818520832E-7,1.013953007333922E-6,9.65028338057147E-7,8.708988285539857E-7,8.242399065641642E-7,1.0222450750787896E-6,9.056010519461819E-7,9.928130265011581E-7,6.599618938002519E-7,7.053075627149478E-4,9.668944992405043E-7,5.42229071177868E-7,1.1046806423497E-6,7.992078252036581E-7,1.2266341526840594E-6,1.2654399491799316E-6,1.3694146710871372E-6,1.1373471831890987E-6,9.744318818520832E-7,8.102158496044931E-7,1.5025415490301847E-6,1.6037489234835352E-6,1.9028083548509245E-6,1.1030965021913012E-6,1.7136815191443933E-6,1.7839971884204311E-6,1.947271774879805E-6,1.5935264581165474E-6,1.9210856439190916E-6,1.2276882997621968E-6,1.4034319524966354E-6,1.3323757992589326E-6,1.1982663482473558E-6,0.001634181660269795,1.3878499290114763E-6,1.068902525709778E-6,1.3820955055636254E-6,1.3131303846552836E-6,1.553907377796839E-6,0.011696613167103942,1.4980398149022005E-6,1.6405841135677946E-6,2.001845701737002E-6,1.3859264710570046E-6,1.856875732305367E-6,1.7871855223675204E-6,1.5185129506376997E-6,1.08396501394521E-6,1.8098269986372004E-6,1.5611851893483458E-6,1.5048025774258546E-6,0.004333329964088665,1.670734906163174E-6,1.8500052725150267E-6,0.0037930844923313727
playback,7.006534995190013E-7,8.415815336813554E-7,8.141737886518829E-7,1.3346875963477608E-6,9.57635177387552E-7,3.5942275268228213E-7,1.232682353782301E-6,1.180304494953608E-6,0.001452906866564191,1.0579334961845628E-6,9.155505342695142E-7,1.0534754682435087E-6,6.885918915550402E-7,9.266467883496151E-4,9.231573087748872E-7,9.744318818520832E-7,1.013953007333922E-6,9.65028338057147E-7,0.004355365041598482,8.242399065641642E-7,1.0222450750787896E-6,9.056010519461819E-7,9.928130265011581E-7,6.599618938002519E-7,7.046029597551927E-7,9.668944992405043E-7,5.42229071177868E-7,1.1046806423497E-6,7.992078252036581E-7,1.2266341526840594E-6,1.2654399491799316E-6,1.3694146710871372E-6,1.1373471831890987E-6,9.744318818520832E-7,8.102158496044931E-7,1.5025415490301847E-6,1.6037489234835352E-6,1.9028083548509245E-6,0.0022072961008847937,1.7136815191443933E-6,1.7839971884204311E-6,1.947271774879805E-6,1.5935264581165474E-6,1.9210856439190916E-6,1.2276882997621968E-6,1.4034319524966354E-6,1.3323757992589326E-6,1.1982663482473558E-6,1.6325491111586366E-6,1.3878499290114763E-6,1.068902525709778E-6,1.3820955055636254E-6,1.3131303846552836E-6,1.553907377796839E-6,1.299479298645033E-6,0.0014995378547171024,1.6405841135677946E-6,2.001845701737002E-6,1.3859264710570046E-6,1.856875732305367E-6,1.7871855223675204E-6,1.5185129506376997E-6,1.08396501394521E-6,0.02352956080928224,1.5611851893483458E-6,1.5048025774258546E-6,1.4439620006959897E-6,1.670734906163174E-6,1.8500052725150267E-6,1.895594448941216E-6
stick,7.006534995190013E-7,8.415815336813554E-7,0.004071683117048067,1.3346875963477608E-6,9.57635177387552E-7,3.5942275268228213E-7,1.232682353782301E-6,1.180304494953608E-6,0.0029050876427402944,1.0579334961845628E-6,9.155505342695142E-7,1.0534754682435087E-6,0.004132239941221796,9.257210672823329E-7,9.231573087748872E-7,9.744318818520832E-7,1.013953007333922E-6,9.65028338057147E-7,0.013935252155692326,8.242399065641642E-7,1.0222450750787896E-6,0.003623309808836674,9.928130265011581E-7,6.599618938002519E-7,7.046029597551927E-7,9.668944992405043E-7,5.42229071177868E-7,1.1046806423497E-6,7.992078252036581E-7,1.2266341526840594E-6,1.2654399491799316E-6,1.3694146710871372E-6,1.1373471831890987E-6,9.744318818520832E-7,8.102158496044931E-7,1.5025415490301847E-6,1.6037489234835352E-6,1.9028083548509245E-6,1.1030965021913012E-6,1.7136815191443933E-6,1.7839971884204311E-6,1.947271774879805E-6,1.5935264581165474E-6,0.007686263661320286,1.2276882997621968E-6,1.4034319524966354E-6,0.007995587171352856,0.005992530007585027,1.6325491111586366E-6,0.0013892377789404874,1.068902525709778E-6,1.3820955055636254E-6,1.3131303846552836E-6,1.553907377796839E-6,1.299479298645033E-6,1.4980398149022005E-6,1.6405841135677946E-6,2.001845701737002E-6,1.3859264710570046E-6,1.856875732305367E-6,1.7871855223675204E-6,1.5185129506376997E-6,0.015176594160246883,1.8098269986372004E-6,1.5611851893483458E-6,1.5048025774258546E-6,0.0014454059626966855,1.670734906163174E-6,1.8500052725150267E-6,1.895594448941216E-6
band,7.006534995190013E-7,8.415815336813554E-7,8.141737886518829E-7,1.3346875963477608E-6,9.57635177387552E-7,3.5942275268228213E-7,1.232682353782301E-6,1.180304494953608E-6,7.260903880880515E-7,1.0579334961845628E-6,9.155505342695142E-7,1.0534754682435087E-6,6.885918915550402E-7,9.257210672823329E-7,9.231573087748872E-7,9.744318818520832E-7,1.013953007333922E-6,9.65028338057147E-7,8.708988285539857E-7,8.242399065641642E-7,1.0222450750787896E-6,9.056010519461819E-7,9.928130265011581E-7,6.599618938002519E-7,7.046029597551927E-7,9.668944992405043E-7,5.42229071177868E-7,1.1046806423497E-6,7.992078252036581E-7,1.2266341526840594E-6,1.2654399491799316E-6,1.3694146710871372E-6,1.1373471831890987E-6,9.744318818520832E-7,8.102158496044931E-7,1.5025415490301847E-6,1.6037489234835352E-6,1.9028083548509245E-6,1.1030965021913012E-6,1.7136815191443933E-6,1.7839971884204311E-6,1.947271774879805E-6,1.5935264581165474E-6,1.9210856439190916E-6,1.2276882997621968E-6,1.4034319524966354E-6,1.3323757992589326E-6,1.1982663482473558E-6,1.6325491111586366E-6,1.3878499290114763E-6,1.068902525709778E-6,1.3820955055636254E-6,1.3131303846552836E-6,1.553907377796839E-6,1.299479298645033E-6,1.4980398149022005E-6,1.6405841135677946E-6,2.001845701737002E-6,1.3859264710570046E-6,1.856875732305367E-6,1.7871855223675204E-6,0.001520031463588337,1.08396501394521E-6,1.8098269986372004E-6,1.5611851893483458E-6,1.5048025774258546E-6,0.007221253965480645,1.670734906163174E-6,1.8500052725150267E-6,1.895594448941216E-6
lumix,7.006534995190013E-7,8.415815336813554E-7,8.141737886518829E-7,1.3346875963477608E-6,9.57635177387552E-7,3.5942275268228213E-7,1.232682353782301E-6,1.180304494953608E-6,7.260903880880515E-7,1.0579334961845628E-6,9.155505342695142E-7,1.0534754682435087E-6,6.885918915550402E-7,9.257210672823329E-7,9.231573087748872E-7,9.744318818520832E-7,1.013953007333922E-6,9.65028338057147E-7,8.708988285539857E-7,8.242399065641642E-7,1.0222450750787896E-6,0.004528910860782856,9.928130265011581E-7,6.599618938002519E-7,7.046029597551927E-7,9.668944992405043E-7,5.42229071177868E-7,1.1046806423497E-6,7.992078252036581E-7,0.0012278607868367434,1.2654399491799316E-6,1.3694146710871372E-6,1.1373471831890987E-6,9.744318818520832E-7,8.102158496044931E-7,1.5025415490301847E-6,1.6037489234835352E-6,1.9028083548509245E-6,1.1030965021913012E-6,1.7136815191443933E-6,1.7839971884204311E-6,1.947271774879805E-6,1.5935264581165474E-6,1.9210856439190916E-6,1.2276882997621968E-6,1.4034319524966354E-6,1.3323757992589326E-6,1.1982663482473558E-6,1.6325491111586366E-6,1.3878499290114763E-6,1.068902525709778E-6,1.3820955055636254E-6,1.3131303846552836E-6,1.553907377796839E-6,1.299479298645033E-6,1.4980398149022005E-6,1.6405841135677946E-6,2.001845701737002E-6,1.3859264710570046E-6,1.856875732305367E-6,1.7871855223675204E-6,1.5185129506376997E-6,1.08396501394521E-6,1.8098269986372004E-6,1.5611851893483458E-6,1.5048025774258546E-6,1.4439620006959897E-6,1.670734906163174E-6,1.8500052725150267E-6,1.895594448941216E-6
usbav,7.006534995190013E-7,8.415815336813554E-7,8.141737886518829E-7,1.3346875963477608E-6,9.57635177387552E-7,3.5942275268228213E-7,1.232682353782301E-6,1.180304494953608E-6,7.260903880880515E-7,1.0579334961845628E-6,9.155505342695142E-7,1.0534754682435087E-6,6.885918915550402E-7,9.257210672823329E-7,9.231573087748872E-7,9.744318818520832E-7,1.013953007333922E-6,9.65028338057147E-7,8.708988285539857E-7,8.242399065641642E-7,1.0222450750787896E-6,9.056010519461819E-7,9.928130265011581E-7,6.599618938002519E-7,7.046029597551927E-7,9.668944992405043E-7,5.42229071177868E-7,1.1046806423497E-6,7.992078252036581E-7,1.2266341526840594E-6,1.2654399491799316E-6,1.3694146710871372E-6,1.1373471831890987E-6,9.744318818520832E-7,8.102158496044931E-7,1.5025415490301847E-6,1.6037489234835352E-6,1.9028083548509245E-6,1.1030965021913012E-6,1.7136815191443933E-6,1.7839971884204311E-6,1.947271774879805E-6,1.5935264581165474E-6,1.9210856439190916E-6,1.2276882997621968E-6,1.4034319524966354E-6,1.3323757992589326E-6,1.1982663482473558E-6,1.6325491111586366E-6,1.3878499290114763E-6,1.068902525709778E-6,1.3820955055636254E-6,1.3131303846552836E-6,1.553907377796839E-6,1.299479298645033E-6,1.4980398149022005E-6,1.6405841135677946E-6,2.001845701737002E-6,1.3859264710570046E-6,1.856875732305367E-6,1.7871855223675204E-6,1.5185129506376997E-6,1.08396501394521E-6,1.8098269986372004E-6,0.012491042699976113,1.5048025774258546E-6,1.4439620006959897E-6,1.670734906163174E-6,1.8500052725150267E-6,1.895594448941216E-6
benefit,7.006534995190013E-7,8.415815336813554E-7,8.141737886518829E-7,1.3346875963477608E-6,9.57635177387552E-7,3.5942275268228213E-7,1.232682353782301E-6,1.180304494953608E-6,7.260903880880515E-7,1.0579334961845628E-6,9.155505342695142E-7,1.0534754682435087E-6,0.0048208318327768365,9.257210672823329E-7,9.231573087748872E-7,9.744318818520832E-7,1.013953007333922E-6,9.65028338057147E-7,8.708988285539857E-7,8.242399065641642E-7,1.0222450750787896E-6,9.056010519461819E-7,9.928130265011581E-7,6.599618938002519E-7,7.046029597551927E-7,9.668944992405043E-7,5.42229071177868E-7,1.1046806423497E-6,7.992078252036581E-7,1.2266341526840594E-6,1.2654399491799316E-6,1.3694146710871372E-6,1.1373471831890987E-6,9.744318818520832E-7,8.102158496044931E-7,1.5025415490301847E-6,0.0032091015958905537,1.9028083548509245E-6,1.1030965021913012E-6,1.7136815191443933E-6,1.7839971884204311E-6,1.947271774879805E-6,1.5935264581165474E-6,1.9210856439190916E-6,1.2276882997621968E-6,1.4034319524966354E-6,1.3323757992589326E-6,1.1982663482473558E-6,1.6325491111586366E-6,1.3878499290114763E-6,1.068902525709778E-6,1.3820955055636254E-6,1.3131303846552836E-6,1.553907377796839E-6,1.299479298645033E-6,1.4980398149022005E-6,1.6405841135677946E-6,2.001845701737002E-6,1.3859264710570046E-6,1.856875732305367E-6,1.7871855223675204E-6,1.5185129506376997E-6,1.08396501394521E-6,1.8098269986372004E-6,1.5611851893483458E-6,1.5048025774258546E-6,1.4439620006959897E-6,1.670734906163174E-6,1.8500052725150267E-6,1.895594448941216E-6
highest,7.006534995190013E-7,8.415815336813554E-7,8.141737886518829E-7,1.3346875963477608E-6,9.57635177387552E-7,3.5942275268228213E-7,1.232682353782301E-6,1.180304494953608E-6,7.260903880880515E-7,1.0579334961845628E-6,9.155505342695142E-7,1.0534754682435087E-6,6.885918915550402E-7,9.257210672823329E-7,9.231573087748872E-7,9.744318818520832E-7,1.013953007333922E-6,9.65028338057147E-7,0.002613567384490511,8.242399065641642E-7,1.0222450750787896E-6,9.056010519461819E-7,9.928130265011581E-7,0.001320583749494304,0.002114513482225333,9.668944992405043E-7,0.004338374798494121,1.1046806423497E-6,7.992078252036581E-7,1.2266341526840594E-6,1.2654399491799316E-6,1.3694146710871372E-6,1.1373471831890987E-6,0.0029242700774381016,8.102158496044931E-7,1.5025415490301847E-6,1.6037489234835352E-6,1.9028083548509245E-6,1.1030965021913012E-6,1.7136815191443933E-6,1.7839971884204311E-6,1.947271774879805E-6,1.5935264581165474E-6,1.9210856439190916E-6,1.2276882997621968E-6,1.4034319524966354E-6,1.3323757992589326E-6,1.1982663482473558E-6,1.6325491111586366E-6,1.3878499290114763E-6,1.068902525709778E-6,1.3820955055636254E-6,1.3131303846552836E-6,0.003109368662971475,1.299479298645033E-6,1.4980398149022005E-6,1.6405841135677946E-6,2.001845701737002E-6,1.3859264710570046E-6,1.856875732305367E-6,1.7871855223675204E-6,1.5185129506376997E-6,1.08396501394521E-6,1.8098269986372004E-6,1.5611851893483458E-6,1.5048025774258546E-6,1.4439620006959897E-6,1.670734906163174E-6,1.8500052725150267E-6,1.895594448941216E-6
qualiti,0.014714424143398548,0.026089869125655696,0.013841768580870661,0.018686961036465,0.008619674231665356,0.025878797615876997,0.019724150342870596,0.021246661213659902,0.013796443464061068,0.007406592406788125,0.002747567153342812,0.015803185499120874,0.01308393453143732,0.004629531057478947,0.018464069332806518,0.04969700040633809,0.04867075830503559,0.020266560127538146,0.011322555670030368,0.006594743492419877,0.007156737770626606,9.06506652998128E-4,0.013900375184042715,0.021119440563501863,0.014092763798063611,0.01740506788082832,0.010302894581450669,0.005524507892390849,0.028772280915156895,0.002454494939520803,0.00759390513502877,0.005479028099019637,0.039808288758801644,0.028259499005592263,0.12072297180691909,0.006011668737669769,0.022454088677692975,0.011418752937460398,0.014341357624989106,1.7136815191443933E-6,1.7839971884204311E-6,1.947271774879805E-6,0.0015951199845746636,0.019212777524834836,0.0049119808873485495,0.0014048353844491317,0.0013337081750581913,0.009587329052327093,0.03918281121691843,1.3878499290114763E-6,0.04061936487949727,0.001383477601069189,0.0013144435150399386,0.004663276040768314,1.299479298645033E-6,1.4980398149022005E-6,0.0016422246976813624,2.001845701737002E-6,0.026333988876554144,0.0018587326080376722,0.00893771479735997,1.5185129506376997E-6,0.006504874048685205,1.8098269986372004E-6,0.021858153836066187,1.5048025774258546E-6,0.004333329964088665,0.056806657544454076,1.8500052725150267E-6,0.0037930844923313727
