,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S0-T25,S0-T26,S0-T27,S0-T28,S0-T29,S0-T30,S0-T31,S0-T32,S0-T33,S0-T34,S0-T35,S0-T36,S0-T37,S0-T38,S0-T39,S0-T40,S0-T41,S0-T42,S0-T43,S0-T44,S0-T45,S0-T46,S0-T47,S0-T48,S0-T49,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24,S1-T25,S1-T26,S1-T27,S1-T28,S1-T29,S1-T30,S1-T31,S1-T32,S1-T33,S1-T34,S1-T35,S1-T36,S1-T37,S1-T38,S1-T39,S1-T40,S1-T41,S1-T42,S1-T43,S1-T44,S1-T45,S1-T46,S1-T47,S1-T48,S1-T49
bang,1.7353910443409766E-6,8.648730928467211E-7,1.3619543500140962E-6,1.738407861775714E-6,8.437116902160662E-7,1.948410000019484E-6,1.738407861775714E-6,1.0317372701676264E-6,1.478767122274817E-6,9.792027135665599E-7,1.39035842049722E-6,1.16926379643585E-6,0.007253125909748777,7.756513726314516E-7,1.0370872781540677E-6,1.446677632483121E-6,2.768250382710616E-6,1.2543290029715055E-6,1.7786030495927888E-6,1.0579334961845628E-6,1.24032699981023E-6,1.3454622268207132E-6,9.503544346864163E-7,1.5215165259517466E-6,1.995056250610986E-6,1.4572182577789953E-6,1.5498133249850055E-6,1.8374280417243158E-6,1.1929771819254413E-6,1.2103035562349393E-6,1.1347659375039007E-6,1.4700715483822597E-6,1.3153758226031551E-6,1.293261203845124E-6,0.00124156732681004,0.012584604586718564,1.0534754682435087E-6,1.415951257293919E-6,1.143851967253806E-6,1.2372577913216263E-6,1.3694146710871372E-6,1.7567313553709426E-6,7.006534995190013E-7,1.3712925392086819E-6,1.4700715483822597E-6,1.1309159627657228E-6,1.5594809423631437E-6,1.6577177536598263E-6,1.4020545707680033E-6,1.6687832400761633E-6,2.4123182619729387E-6,1.6089094972318712E-6,2.42401324480837E-6,1.670734906163174E-6,2.5737442058583567E-6,1.6405841135677946E-6,1.7166232647084574E-6,1.8991945515906706E-6,2.509164724154976E-6,2.614112548001642E-6,2.055333693701841E-6,1.9898953116076566E-6,2.3012894124578E-6,2.389263605064283E-6,2.9538694212483646E-6,2.0220852147151186E-6,2.6209640429942945E-6,1.6486985997602793E-6,1.5371868558226333E-6,1.4651177441875117E-6,2.2394460506249177E-6,2.1952017280628004E-6,1.9434872769605414E-6,2.2960056389898495E-6,1.6905056133238892E-6,2.0984641341002523E-6,1.7466059080691448E-6,2.435822175237919E-6,2.4842313415594517E-6,1.9359622409924516E-6,1.6432800527164241E-6,2.4842313415594517E-6,3.0718285673913114E-6,2.0809965476267277E-6,1.6219574106423114E-6,2.44774672675069E-6,1.7166232647084574E-6,2.796897681092133E-6,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,2.42401324480837E-6,2.869119381188332E-6,2.0766749941333934E-6,2.3949858576085108E-6,2.35549619705139E-6,1.3955974482896256E-6,2.9802794906106294E-6,1.9898953116076566E-6,0.03907076004971444
curv,0.00520790852406727,8.648730928467211E-7,1.3619543500140962E-6,1.738407861775714E-6,8.437116902160662E-7,1.948410000019484E-6,1.738407861775714E-6,1.0317372701676264E-6,1.478767122274817E-6,9.792027135665599E-7,1.39035842049722E-6,0.004678224449539837,1.0360128424151945E-6,7.756513726314516E-7,1.0370872781540677E-6,1.446677632483121E-6,2.768250382710616E-6,1.2543290029715055E-6,1.7786030495927888E-6,1.0579334961845628E-6,1.24032699981023E-6,1.3454622268207132E-6,9.513047891211026E-4,1.5215165259517466E-6,1.995056250610986E-6,1.4572182577789953E-6,1.5498133249850055E-6,1.8374280417243158E-6,1.1929771819254413E-6,0.012104245865905626,1.1347659375039007E-6,1.4700715483822597E-6,1.3153758226031551E-6,0.0012945544650489692,1.24032699981023E-6,1.3981340502964743E-6,1.0534754682435087E-6,1.415951257293919E-6,1.143851967253806E-6,1.2372577913216263E-6,1.3694146710871372E-6,1.7567313553709426E-6,7.006534995190013E-7,1.3712925392086819E-6,1.4700715483822597E-6,1.1309159627657228E-6,1.5594809423631437E-6,1.6577177536598263E-6,1.4020545707680033E-6,1.6687832400761633E-6,2.4123182619729387E-6,1.6089094972318712E-6,2.42401324480837E-6,1.670734906163174E-6,2.5737442058583567E-6,1.6405841135677946E-6,1.7166232647084574E-6,1.8991945515906706E-6,0.0025116738888791307,2.614112548001642E-6,2.055333693701841E-6,1.9898953116076566E-6,2.3012894124578E-6,2.389263605064283E-6,2.9538694212483646E-6,2.0220852147151186E-6,2.6209640429942945E-6,1.6486985997602793E-6,1.5371868558226333E-6,1.4651177441875117E-6,2.2394460506249177E-6,2.1952017280628004E-6,1.9434872769605414E-6,2.2960056389898495E-6,1.6905056133238892E-6,2.0984641341002523E-6,1.7466059080691448E-6,2.435822175237919E-6,2.4842313415594517E-6,1.9359622409924516E-6,1.6432800527164241E-6,2.4842313415594517E-6,3.0718285673913114E-6,2.0809965476267277E-6,1.6219574106423114E-6,2.44774672675069E-6,1.7166232647084574E-6,2.796897681092133E-6,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,2.42401324480837E-6,2.869119381188332E-6,2.0766749941333934E-6,2.3949858576085108E-6,2.35549619705139E-6,1.3955974482896256E-6,2.9802794906106294E-6,1.9898953116076566E-6,2.441769892488872E-6
playback,1.7353910443409766E-6,8.648730928467211E-7,1.3619543500140962E-6,1.738407861775714E-6,8.437116902160662E-7,1.948410000019484E-6,1.738407861775714E-6,1.0317372701676264E-6,1.478767122274817E-6,9.792027135665599E-7,1.39035842049722E-6,1.16926379643585E-6,1.0360128424151945E-6,7.764270240040829E-4,1.0370872781540677E-6,1.446677632483121E-6,2.768250382710616E-6,0.01630753136763254,1.7786030495927888E-6,1.0579334961845628E-6,1.24032699981023E-6,1.3454622268207132E-6,9.503544346864163E-7,1.5215165259517466E-6,1.995056250610986E-6,1.4572182577789953E-6,1.5498133249850055E-6,1.8374280417243158E-6,0.0035801245229582493,1.2103035562349393E-6,1.1347659375039007E-6,1.4700715483822597E-6,1.3153758226031551E-6,1.293261203845124E-6,1.24032699981023E-6,1.3981340502964743E-6,1.0534754682435087E-6,1.415951257293919E-6,1.143851967253806E-6,1.2372577913216263E-6,1.3694146710871372E-6,0.0017584880867263133,0.0021026611520565228,1.3712925392086819E-6,1.4700715483822597E-6,1.1309159627657228E-6,1.5594809423631437E-6,1.6577177536598263E-6,1.4020545707680033E-6,1.6687832400761633E-6,2.4123182619729387E-6,1.6089094972318712E-6,2.42401324480837E-6,1.670734906163174E-6,2.5737442058583567E-6,1.6405841135677946E-6,1.7166232647084574E-6,1.8991945515906706E-6,2.509164724154976E-6,2.614112548001642E-6,2.055333693701841E-6,1.9898953116076566E-6,0.0023035907018702576,2.389263605064283E-6,2.9538694212483646E-6,2.0220852147151186E-6,2.6209640429942945E-6,1.6486985997602793E-6,1.5371868558226333E-6,1.4651177441875117E-6,2.2394460506249177E-6,2.1952017280628004E-6,1.9434872769605414E-6,2.2960056389898495E-6,1.6905056133238892E-6,2.0984641341002523E-6,1.7466059080691448E-6,0.004874080172651076,2.4842313415594517E-6,1.9359622409924516E-6,1.6432800527164241E-6,2.4842313415594517E-6,3.0718285673913114E-6,2.0809965476267277E-6,1.6219574106423114E-6,2.44774672675069E-6,1.7166232647084574E-6,2.796897681092133E-6,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,2.42401324480837E-6,2.869119381188332E-6,2.0766749941333934E-6,2.3949858576085108E-6,2.35549619705139E-6,1.3955974482896256E-6,2.9802794906106294E-6,1.9898953116076566E-6,2.441769892488872E-6
stick,1.7353910443409766E-6,8.648730928467211E-7,1.3619543500140962E-6,1.738407861775714E-6,0.006750537233418744,1.948410000019484E-6,1.738407861775714E-6,1.0317372701676264E-6,1.478767122274817E-6,9.792027135665599E-7,1.39035842049722E-6,1.16926379643585E-6,1.0360128424151945E-6,7.756513726314516E-7,0.0020752116435862893,1.446677632483121E-6,2.768250382710616E-6,1.2543290029715055E-6,1.7786030495927888E-6,0.017985927368633754,1.24032699981023E-6,0.00403773214268896,9.503544346864163E-7,1.5215165259517466E-6,1.995056250610986E-6,1.4572182577789953E-6,1.5498133249850055E-6,1.8374280417243158E-6,0.009545010432585455,1.2103035562349393E-6,1.1347659375039007E-6,1.4700715483822597E-6,1.3153758226031551E-6,1.293261203845124E-6,1.24032699981023E-6,1.3981340502964743E-6,1.0534754682435087E-6,1.415951257293919E-6,1.143851967253806E-6,1.2372577913216263E-6,1.3694146710871372E-6,1.7567313553709426E-6,0.0049052751501325285,1.3712925392086819E-6,1.4700715483822597E-6,1.1309159627657228E-6,1.5594809423631437E-6,1.6577177536598263E-6,1.4020545707680033E-6,1.6687832400761633E-6,2.4123182619729387E-6,1.6089094972318712E-6,2.42401324480837E-6,1.670734906163174E-6,2.5737442058583567E-6,1.6405841135677946E-6,0.0017183398879731656,1.8991945515906706E-6,2.509164724154976E-6,2.614112548001642E-6,2.055333693701841E-6,1.9898953116076566E-6,2.3012894124578E-6,2.389263605064283E-6,2.9538694212483646E-6,2.0220852147151186E-6,0.01572840522200876,0.0032990458981203186,0.003075910898501089,1.4651177441875117E-6,2.2394460506249177E-6,2.1952017280628004E-6,1.9434872769605414E-6,2.2960056389898495E-6,1.6905056133238892E-6,2.0984641341002523E-6,1.7466059080691448E-6,2.435822175237919E-6,2.4842313415594517E-6,1.9359622409924516E-6,1.6432800527164241E-6,2.4842313415594517E-6,3.0718285673913114E-6,2.0809965476267277E-6,1.6219574106423114E-6,2.44774672675069E-6,1.7166232647084574E-6,0.00839348994095749,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,2.42401324480837E-6,2.869119381188332E-6,0.002078751669127526,2.3949858576085108E-6,2.35549619705139E-6,0.001396993045737915,0.01490437773254376,1.9898953116076566E-6,2.441769892488872E-6
band,1.7353910443409766E-6,8.648730928467211E-7,1.3619543500140962E-6,1.738407861775714E-6,8.437116902160662E-7,1.948410000019484E-6,1.738407861775714E-6,1.0317372701676264E-6,1.478767122274817E-6,9.792027135665599E-7,1.39035842049722E-6,1.16926379643585E-6,1.0360128424151945E-6,7.756513726314516E-7,1.0370872781540677E-6,1.446677632483121E-6,2.768250382710616E-6,1.2543290029715055E-6,1.7786030495927888E-6,1.0579334961845628E-6,1.24032699981023E-6,1.3454622268207132E-6,9.503544346864163E-7,1.5215165259517466E-6,1.995056250610986E-6,1.4572182577789953E-6,1.5498133249850055E-6,1.8374280417243158E-6,1.1929771819254413E-6,1.2103035562349393E-6,1.1347659375039007E-6,1.4700715483822597E-6,1.3153758226031551E-6,1.293261203845124E-6,1.24032699981023E-6,1.3981340502964743E-6,1.0534754682435087E-6,1.415951257293919E-6,1.143851967253806E-6,1.2372577913216263E-6,1.3694146710871372E-6,1.7567313553709426E-6,7.006534995190013E-7,1.3712925392086819E-6,1.4700715483822597E-6,1.1309159627657228E-6,1.5594809423631437E-6,1.6577177536598263E-6,1.4020545707680033E-6,1.6687832400761633E-6,2.4123182619729387E-6,1.6089094972318712E-6,2.42401324480837E-6,1.670734906163174E-6,2.5737442058583567E-6,1.6405841135677946E-6,1.7166232647084574E-6,1.8991945515906706E-6,2.509164724154976E-6,2.614112548001642E-6,2.055333693701841E-6,1.9898953116076566E-6,2.3012894124578E-6,2.389263605064283E-6,2.9538694212483646E-6,2.0220852147151186E-6,2.6209640429942945E-6,1.6486985997602793E-6,1.5371868558226333E-6,0.008792171582869258,2.2394460506249177E-6,2.1952017280628004E-6,1.9434872769605414E-6,2.2960056389898495E-6,1.6905056133238892E-6,2.0984641341002523E-6,1.7466059080691448E-6,2.435822175237919E-6,2.4842313415594517E-6,1.9359622409924516E-6,1.6432800527164241E-6,2.4842313415594517E-6,3.0718285673913114E-6,2.0809965476267277E-6,1.6219574106423114E-6,2.44774672675069E-6,1.7166232647084574E-6,2.796897681092133E-6,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,2.42401324480837E-6,2.869119381188332E-6,2.0766749941333934E-6,2.3949858576085108E-6,2.35549619705139E-6,1.3955974482896256E-6,2.9802794906106294E-6,1.9898953116076566E-6,2.441769892488872E-6
lumix,1.7353910443409766E-6,8.648730928467211E-7,1.3619543500140962E-6,1.738407861775714E-6,8.437116902160662E-7,1.948410000019484E-6,1.738407861775714E-6,1.0317372701676264E-6,1.478767122274817E-6,0.002938587343413246,1.39035842049722E-6,1.16926379643585E-6,1.0360128424151945E-6,7.756513726314516E-7,1.0370872781540677E-6,1.446677632483121E-6,2.768250382710616E-6,1.2543290029715055E-6,1.7786030495927888E-6,1.0579334961845628E-6,1.24032699981023E-6,1.3454622268207132E-6,9.503544346864163E-7,1.5215165259517466E-6,1.995056250610986E-6,1.4572182577789953E-6,1.5498133249850055E-6,1.8374280417243158E-6,1.1929771819254413E-6,1.2103035562349393E-6,1.1347659375039007E-6,1.4700715483822597E-6,1.3153758226031551E-6,1.293261203845124E-6,1.24032699981023E-6,1.3981340502964743E-6,1.0534754682435087E-6,1.415951257293919E-6,1.143851967253806E-6,1.2372577913216263E-6,1.3694146710871372E-6,1.7567313553709426E-6,7.006534995190013E-7,0.004115248910165254,1.4700715483822597E-6,1.1309159627657228E-6,1.5594809423631437E-6,1.6577177536598263E-6,1.4020545707680033E-6,1.6687832400761633E-6,2.4123182619729387E-6,1.6089094972318712E-6,2.42401324480837E-6,1.670734906163174E-6,2.5737442058583567E-6,1.6405841135677946E-6,1.7166232647084574E-6,1.8991945515906706E-6,2.509164724154976E-6,2.614112548001642E-6,2.055333693701841E-6,1.9898953116076566E-6,2.3012894124578E-6,2.389263605064283E-6,2.9538694212483646E-6,2.0220852147151186E-6,2.6209640429942945E-6,1.6486985997602793E-6,1.5371868558226333E-6,1.4651177441875117E-6,2.2394460506249177E-6,2.1952017280628004E-6,1.9434872769605414E-6,2.2960056389898495E-6,1.6905056133238892E-6,2.0984641341002523E-6,1.7466059080691448E-6,2.435822175237919E-6,2.4842313415594517E-6,1.9359622409924516E-6,1.6432800527164241E-6,2.4842313415594517E-6,3.0718285673913114E-6,2.0809965476267277E-6,1.6219574106423114E-6,2.44774672675069E-6,1.7166232647084574E-6,2.796897681092133E-6,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,2.42401324480837E-6,2.869119381188332E-6,2.0766749941333934E-6,2.3949858576085108E-6,2.35549619705139E-6,1.3955974482896256E-6,2.9802794906106294E-6,1.9898953116076566E-6,2.441769892488872E-6
usbav,1.7353910443409766E-6,8.648730928467211E-7,1.3619543500140962E-6,1.738407861775714E-6,8.437116902160662E-7,1.948410000019484E-6,1.738407861775714E-6,1.0317372701676264E-6,1.478767122274817E-6,9.792027135665599E-7,1.39035842049722E-6,1.16926379643585E-6,1.0360128424151945E-6,7.756513726314516E-7,1.0370872781540677E-6,1.446677632483121E-6,2.768250382710616E-6,1.2543290029715055E-6,1.7786030495927888E-6,1.0579334961845628E-6,1.24032699981023E-6,0.009419581049971813,9.503544346864163E-7,1.5215165259517466E-6,1.995056250610986E-6,1.4572182577789953E-6,1.5498133249850055E-6,1.8374280417243158E-6,1.1929771819254413E-6,1.2103035562349393E-6,1.1347659375039007E-6,1.4700715483822597E-6,1.3153758226031551E-6,1.293261203845124E-6,1.24032699981023E-6,1.3981340502964743E-6,1.0534754682435087E-6,1.415951257293919E-6,1.143851967253806E-6,1.2372577913216263E-6,1.3694146710871372E-6,1.7567313553709426E-6,7.006534995190013E-7,1.3712925392086819E-6,1.4700715483822597E-6,1.1309159627657228E-6,1.5594809423631437E-6,1.6577177536598263E-6,1.4020545707680033E-6,1.6687832400761633E-6,2.4123182619729387E-6,0.0016105184067291029,2.42401324480837E-6,1.670734906163174E-6,2.5737442058583567E-6,1.6405841135677946E-6,1.7166232647084574E-6,1.8991945515906706E-6,2.509164724154976E-6,2.614112548001642E-6,2.055333693701841E-6,1.9898953116076566E-6,2.3012894124578E-6,2.389263605064283E-6,2.9538694212483646E-6,2.0220852147151186E-6,2.6209640429942945E-6,1.6486985997602793E-6,1.5371868558226333E-6,1.4651177441875117E-6,2.2394460506249177E-6,2.1952017280628004E-6,1.9434872769605414E-6,2.2960056389898495E-6,1.6905056133238892E-6,2.0984641341002523E-6,1.7466059080691448E-6,2.435822175237919E-6,2.4842313415594517E-6,1.9359622409924516E-6,1.6432800527164241E-6,2.4842313415594517E-6,3.0718285673913114E-6,2.0809965476267277E-6,1.6219574106423114E-6,2.44774672675069E-6,1.7166232647084574E-6,2.796897681092133E-6,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,2.42401324480837E-6,2.869119381188332E-6,2.0766749941333934E-6,2.3949858576085108E-6,2.35549619705139E-6,1.3955974482896256E-6,2.9802794906106294E-6,1.9898953116076566E-6,2.441769892488872E-6
benefit,1.7353910443409766E-6,8.648730928467211E-7,1.3619543500140962E-6,1.738407861775714E-6,8.437116902160662E-7,1.948410000019484E-6,1.738407861775714E-6,1.0317372701676264E-6,1.478767122274817E-6,9.792027135665599E-7,1.39035842049722E-6,1.16926379643585E-6,1.0360128424151945E-6,7.756513726314516E-7,0.0010381243654322215,1.446677632483121E-6,2.768250382710616E-6,1.2543290029715055E-6,1.7786030495927888E-6,1.0579334961845628E-6,1.24032699981023E-6,1.3454622268207132E-6,9.503544346864163E-7,1.5215165259517466E-6,1.995056250610986E-6,1.4572182577789953E-6,1.5498133249850055E-6,1.8374280417243158E-6,1.1929771819254413E-6,1.2103035562349393E-6,1.1347659375039007E-6,1.4700715483822597E-6,1.3153758226031551E-6,1.293261203845124E-6,1.24032699981023E-6,1.3981340502964743E-6,1.0534754682435087E-6,1.415951257293919E-6,1.143851967253806E-6,1.2372577913216263E-6,1.3694146710871372E-6,1.7567313553709426E-6,7.006534995190013E-7,1.3712925392086819E-6,1.4700715483822597E-6,1.1309159627657228E-6,1.5594809423631437E-6,1.6577177536598263E-6,1.4020545707680033E-6,1.6687832400761633E-6,2.4123182619729387E-6,1.6089094972318712E-6,2.42401324480837E-6,1.670734906163174E-6,2.5737442058583567E-6,1.6405841135677946E-6,1.7166232647084574E-6,1.8991945515906706E-6,2.509164724154976E-6,2.614112548001642E-6,2.055333693701841E-6,1.9898953116076566E-6,2.3012894124578E-6,2.389263605064283E-6,2.9538694212483646E-6,2.0220852147151186E-6,2.6209640429942945E-6,1.6486985997602793E-6,1.5371868558226333E-6,1.4651177441875117E-6,2.2394460506249177E-6,2.1952017280628004E-6,1.9434872769605414E-6,2.2960056389898495E-6,1.6905056133238892E-6,2.0984641341002523E-6,1.7466059080691448E-6,2.435822175237919E-6,2.4842313415594517E-6,1.9359622409924516E-6,1.6432800527164241E-6,2.4842313415594517E-6,3.0718285673913114E-6,2.0809965476267277E-6,1.6219574106423114E-6,2.44774672675069E-6,1.7166232647084574E-6,2.796897681092133E-6,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,0.007274463747669917,2.869119381188332E-6,2.0766749941333934E-6,2.3949858576085108E-6,0.011779836481454002,1.3955974482896256E-6,2.9802794906106294E-6,1.9898953116076566E-6,2.441769892488872E-6
highest,1.7353910443409766E-6,8.648730928467211E-7,1.3619543500140962E-6,1.738407861775714E-6,8.437116902160662E-7,1.948410000019484E-6,1.738407861775714E-6,1.0317372701676264E-6,1.478767122274817E-6,9.792027135665599E-7,1.39035842049722E-6,1.16926379643585E-6,1.0360128424151945E-6,7.756513726314516E-7,1.0370872781540677E-6,1.446677632483121E-6,2.768250382710616E-6,1.2543290029715055E-6,1.7786030495927888E-6,0.007406592406788125,1.24032699981023E-6,1.3454622268207132E-6,9.503544346864163E-7,1.5215165259517466E-6,1.995056250610986E-6,1.4572182577789953E-6,1.5498133249850055E-6,1.8374280417243158E-6,0.0035801245229582493,1.2103035562349393E-6,1.1347659375039007E-6,1.4700715483822597E-6,1.3153758226031551E-6,1.293261203845124E-6,1.24032699981023E-6,1.3981340502964743E-6,1.0534754682435087E-6,1.415951257293919E-6,1.143851967253806E-6,1.2372577913216263E-6,0.0013707840857582242,1.7567313553709426E-6,7.006534995190013E-7,1.3712925392086819E-6,0.0014715416199306418,1.1309159627657228E-6,1.5594809423631437E-6,1.6577177536598263E-6,1.4020545707680033E-6,1.6687832400761633E-6,2.4123182619729387E-6,1.6089094972318712E-6,2.42401324480837E-6,1.670734906163174E-6,2.5737442058583567E-6,1.6405841135677946E-6,1.7166232647084574E-6,1.8991945515906706E-6,0.0025116738888791307,2.614112548001642E-6,2.055333693701841E-6,1.9898953116076566E-6,2.3012894124578E-6,2.389263605064283E-6,2.9538694212483646E-6,2.0220852147151186E-6,2.6209640429942945E-6,0.006596443097640878,0.003075910898501089,1.4651177441875117E-6,2.2394460506249177E-6,2.1952017280628004E-6,1.9434872769605414E-6,2.2960056389898495E-6,1.6905056133238892E-6,2.0984641341002523E-6,1.7466059080691448E-6,2.435822175237919E-6,2.4842313415594517E-6,1.9359622409924516E-6,1.6432800527164241E-6,2.4842313415594517E-6,3.0718285673913114E-6,2.0809965476267277E-6,1.6219574106423114E-6,2.44774672675069E-6,1.7166232647084574E-6,2.796897681092133E-6,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,2.42401324480837E-6,2.869119381188332E-6,0.0041554266632609195,2.3949858576085108E-6,2.35549619705139E-6,1.3955974482896256E-6,2.9802794906106294E-6,1.9898953116076566E-6,2.441769892488872E-6
qualiti,1.7353910443409766E-6,0.032866042401268246,0.0408599924547729,0.022601040610946057,0.023624771037740067,0.00974399841009744,1.738407861775714E-6,0.0020645062776054202,0.06950353351403867,0.018605830760478205,0.1181818561006842,0.0058474882459756865,0.009325151594579166,0.017065105849264565,0.01866860809405137,0.018808255899913053,0.02491702169477825,0.005018570340888993,0.00355898470223517,0.017985927368633754,0.02108679932377372,0.00403773214268896,0.013305912440044514,0.03651791813936787,0.0159624450611385,1.4572182577789953E-6,0.015499683063175038,0.020213545887009198,0.010737987614510896,1.2103035562349393E-6,0.06468279320365984,0.030872972587575837,1.3153758226031551E-6,0.029746300949641702,0.049614320319409,0.008390202435829143,0.0189636119038514,0.011329026009608644,0.043467518607611874,0.0272209086668671,0.012326101454455321,0.06500081688008023,0.0049052751501325285,1.3712925392086819E-6,0.0323430441359581,0.01017937458085427,1.5594809423631437E-6,0.014921117500692095,0.032248657182234845,1.6687832400761633E-6,2.4123182619729387E-6,1.6089094972318712E-6,0.024242556461328505,0.020050489608864252,0.03603499262622285,0.032813322855469465,1.7166232647084574E-6,0.007598677400914273,2.509164724154976E-6,2.614112548001642E-6,0.012334057495904749,1.9898953116076566E-6,0.004604880114328058,2.389263605064283E-6,0.005910692711917977,2.0220852147151186E-6,2.6209640429942945E-6,1.6486985997602793E-6,0.019984966312550055,0.01025728932705677,0.006720577597925377,0.008783002113979265,0.0019454307642375018,0.006890312922608538,1.6905056133238892E-6,2.0984641341002523E-6,0.005241564330115503,2.435822175237919E-6,0.0024867155729010105,1.9359622409924516E-6,0.016434443807216956,2.4842313415594517E-6,0.0030749003959587022,0.0062450706394278094,0.012977281242549132,0.007345687926978819,1.7166232647084574E-6,2.796897681092133E-6,1.6272360257038204E-6,1.6541529992275106E-6,1.9247833175180307E-6,2.42401324480837E-6,0.008610227262946184,2.0766749941333934E-6,0.002397380843466119,0.054178768028379024,1.3955974482896256E-6,0.06258884958231384,0.05770895393193364,2.441769892488872E-6
