,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
output,1.3036584175072982E-7,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,4.313091895549139E-4,1.956288302902291E-7,5.291241738880261E-4,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,0.004266233773788393,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,7.59790417831571E-4,4.352327907866441E-7
held,0.0023467155173548877,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,3.1150773698146965E-4,3.9145328941074834E-4,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.6888934196250537E-4,6.863210754323017E-4,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,8.563648105533588E-4,2.1539557073472075E-7,2.5564271925193984E-4,6.403602410572092E-7,4.6802872385884066E-7,0.0013141087880269738,4.671541576019295E-7,3.797053562376667E-7,8.709008143640747E-4
paid,1.3036584175072982E-7,2.1599573710813246E-7,2.7287206856947636E-7,0.004740024427374182,0.0020906489373106927,4.552694800696028E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.6888934196250537E-4,1.1448215239255689E-4,0.0010749731179947675,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1561096630545544E-4,0.0033202907022921776,6.403602410572092E-7,4.6802872385884066E-7,0.001051339584262332,4.671541576019295E-7,3.800850615939043E-4,4.352327907866441E-7
human,1.3036584175072982E-7,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,1.1982541286395892E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,4.575855062164038E-4,1.535456531916537E-7,4.171492081457863E-4,5.00595458297645E-7,3.8819198323444967E-4,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,8.709008143640747E-4
tremend,2.608620493432104E-4,6.482032070615055E-4,2.7287206856947636E-7,2.962330121476271E-7,8.961630425466917E-4,2.3960290514688847E-8,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6849675258269944E-4,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
school,9.126912580968596E-4,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,0.001194784516237692,2.3960290514688847E-8,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1448215239255689E-4,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,5.110300511719597E-4,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
d300,3.912278910939402E-4,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,2.3960290514688847E-8,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1448215239255689E-4,0.0010749731179947675,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.6762131175953137E-4,3.797053562376667E-7,4.352327907866441E-7
suppos,1.3036584175072982E-7,8.64198944169638E-4,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,3.594283180108474E-4,0.0011739686105716647,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,0.001343372226927562,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,0.007008837011625328,7.75996162289844E-4,4.045927753486477E-7,4.2796842106614637E-7,6.46402107774897E-4,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.630319729684064E-4,4.671541576019295E-7,3.800850615939043E-4,4.352327907866441E-7
mistak,1.3036584175072982E-7,0.0010801946812777706,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,2.3960290514688847E-8,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,5.719532908243528E-4,0.0010749731179947675,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,4.310065370401762E-4,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
equiv,6.519595745953999E-4,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,1.4378570337864776E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,0.0020840791108262514,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
