,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19
thinner,5.059270364170328E-8,3.921461594616869E-8,1.679346854986384E-7,7.79684782798532E-8,1.586622613560927E-7,6.129443049383207E-8,1.2583846167010793E-7,2.1173104192824578E-4,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,2.692952380460054E-4,1.5647747913529294E-7,4.638096793950938E-5,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2034887765156081E-4,5.308430424525798E-7,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,1.5528442205312093E-7,9.98055276447093E-4,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,2.9491600202430344E-7
20mp,5.064329634534498E-5,3.925383056211485E-5,5.039719911814138E-4,7.79684782798532E-8,1.586622613560927E-7,6.129443049383207E-8,1.2583846167010793E-7,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,5.390212623156396E-5,3.1311143574972117E-4,4.638096793950938E-5,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,1.5528442205312093E-7,2.494514562477113E-7,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,2.9491600202430344E-7
coat,5.059270364170328E-8,3.921461594616869E-8,1.679346854986384E-7,7.79684782798532E-8,1.586622613560927E-7,6.129443049383207E-8,1.2583846167010793E-7,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,3.4843909502901295E-4,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,7.539297396284985E-4,1.5647747913529294E-7,1.3909654602948317E-4,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,1.6949252098013556E-4,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,1.5528442205312093E-7,2.494514562477113E-7,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,2.9491600202430344E-7
environ,5.059270364170328E-8,7.846844650828353E-5,1.679346854986384E-7,6.238257947171053E-4,9.521322303979123E-4,2.4523901640582214E-4,1.2583846167010793E-7,4.2325056433408577E-4,3.0890612958681606E-4,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,5.384827795361036E-8,4.695889148850141E-4,5.794955419568587E-4,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,6.251761774906576E-4,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.614775891352684E-4,3.9188085567968604E-7,1.5528442205312093E-7,2.494514562477113E-7,2.7351251271928815E-4,3.77245174656971E-7,4.4349910147082045E-7,8.969892361291665E-4,2.9491600202430344E-7
san,5.059270364170328E-8,3.921461594616869E-8,1.679346854986384E-7,7.79684782798532E-8,1.586622613560927E-7,6.129443049383207E-8,1.2583846167010793E-7,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,5.384827795361036E-8,1.5647747913529294E-7,1.3909654602948317E-4,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,1.5528442205312093E-7,2.494514562477113E-7,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,0.001769790928147845
distract,5.059270364170328E-8,3.921461594616869E-8,1.679346854986384E-7,7.79684782798532E-8,1.586622613560927E-7,1.2265015541815794E-4,1.2583846167010793E-7,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,5.384827795361036E-8,1.5647747913529294E-7,2.549910186419504E-4,1.5095032285255053E-7,1.5907849271498413E-4,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.313738854950322E-4,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,7.841535922150517E-4,1.5528442205312093E-7,2.494514562477113E-7,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,2.9491600202430344E-7
speedlight,5.059270364170328E-8,3.921461594616869E-8,1.679346854986384E-7,7.79684782798532E-8,1.586622613560927E-7,6.129443049383207E-8,1.2583846167010793E-7,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,1.7535565634219323E-7,1.0324503267498795E-7,5.385366278140571E-4,1.5647747913529294E-7,4.638096793950938E-5,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.313738854950322E-4,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,1.5528442205312093E-7,2.494514562477113E-7,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,2.9491600202430344E-7
site,4.047922218372679E-4,8.627607654316573E-4,1.679346854986384E-7,0.0011696051426760778,1.5882092361744877E-4,7.968888908503107E-4,2.51802761801886E-4,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,2.3233143257349383E-4,0.0021939874432885752,1.7535565634219323E-7,1.0324503267498795E-7,5.390212623156396E-5,1.5647747913529294E-7,6.955986246200283E-5,3.0205159602795357E-4,3.180774859333591E-4,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.308430424525798E-7,5.233176982804229E-4,1.6949252098013556E-4,0.004778135186496879,4.826897148996333E-4,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,4.660085505814159E-4,2.494514562477113E-7,2.7323927344584234E-7,7.548675944885989E-4,4.4349910147082045E-7,4.482704828231717E-7,2.9491600202430344E-7
onehand,5.059270364170328E-8,3.921461594616869E-8,1.679346854986384E-7,7.79684782798532E-8,1.586622613560927E-7,6.129443049383207E-8,1.2583846167010793E-7,2.1151952240583997E-7,1.5437587685498053E-7,1.5305272850160154E-7,1.6437376226557016E-7,1.1610766245551915E-7,1.2188142010380396E-7,5.262423246829219E-4,1.0324503267498795E-7,3.769917939532261E-4,1.5647747913529294E-7,1.1591765150698974E-4,1.5095032285255053E-7,7.949949660918747E-8,5.643990617429998E-7,4.604484030728485E-7,1.562549806275075E-7,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,5.647868076645637E-8,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,4.838406886794827E-7,5.609166724628056E-7,3.9188085567968604E-7,1.5528442205312093E-7,2.494514562477113E-7,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.482704828231717E-7,2.9491600202430344E-7
fulli,4.047922218372679E-4,1.961122943467896E-4,0.001007776047677329,7.804644675813304E-5,1.586622613560927E-7,7.968888908503107E-4,7.551566084823177E-4,2.1173104192824578E-4,4.6328200644179656E-4,3.0625850973170466E-4,1.6437376226557016E-7,8.128697448510897E-4,7.314104020429276E-4,1.7535565634219323E-7,1.0324503267498795E-7,8.077780175821089E-4,0.0014084537896967716,6.49032225524339E-4,1.5110127317540306E-4,7.949949660918747E-8,5.643990617429998E-7,9.213572545487698E-4,4.6892119686315E-4,2.2012874890265817E-7,5.308430424525798E-7,5.22794903377046E-7,0.0010166727324769811,2.986147857319467E-7,4.822075073922411E-7,5.331070116366599E-7,9.681652180476448E-4,5.609166724628056E-7,0.0039192004376525395,4.660085505814159E-4,0.002245312557685649,2.7323927344584234E-7,3.77245174656971E-7,4.4349910147082045E-7,4.487187533059948E-4,2.9491600202430344E-7
