,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
respond,1.489921669712497E-4,1.981581595387195E-7,1.6424476806503567E-7,7.633348939630341E-4,2.5166894259280416E-7,1.3725942883057437E-7,1.5104658669454785E-7,7.546887015984512E-4,0.0016420664560070951,1.657694670544788E-7,1.954853059560072E-7,2.3145608560542198E-7,0.0025734890011421797,1.5897053226831555E-7,4.7828710422578846E-4,4.352130107371879E-4,4.5952737345543915E-4,1.1764741832671757E-4,7.615835049285948E-4,7.185092361031047E-4,5.213009128106638E-4,6.238470470893304E-4,0.002540191356096135,2.826875900713334E-7,6.106452084190495E-4,1.896283171207443E-7
lose,4.4667881426645395E-4,1.981581595387195E-7,4.92898548963172E-4,1.907860269840125E-7,2.5166894259280416E-7,1.3725942883057437E-7,9.064305667539817E-4,0.0032694794433460396,1.3682746904483755E-7,1.6593523652153326E-4,0.0021505338508220353,6.945997129018714E-4,1.8380751383059639E-7,0.0015898642932154238,3.189111947870052E-4,5.802356734286867E-4,2.296488622965713E-7,1.175298884382793E-7,2.537765761174925E-7,1.795824134224206E-7,2.6052019630717833E-7,2.0787972245562495E-7,0.0012701662349992393,2.826875900713334E-7,2.034805759477006E-7,0.003603127653611263
technolog,0.0014885820797996686,5.946726367756972E-4,0.0011498776212233149,0.001526479001899084,0.001510265324499418,1.3725942883057437E-7,0.0010574771534485295,2.5147907417475883E-7,1.3682746904483755E-7,1.657694670544788E-7,0.0011731073210419992,0.002083336226534403,7.354138628362162E-4,1.5897053226831555E-7,1.5937590943878323E-7,2.9019034804568907E-4,0.0011484739603451531,1.175298884382793E-7,2.540303526936099E-4,1.795824134224206E-7,2.6052019630717833E-7,4.159673246337055E-4,1.4111390234409948E-7,0.001979095818089405,8.141257843667502E-4,1.896283171207443E-7
older,1.489921669712497E-4,5.946726367756972E-4,1.6424476806503567E-7,1.907860269840125E-7,0.0010069274393138096,0.0013727315477345741,1.5104658669454785E-7,2.5147907417475883E-7,1.3682746904483755E-7,1.657694670544788E-7,1.9568079126196317E-4,6.945997129018714E-4,1.8380751383059639E-7,9.539821641421617E-4,3.189111947870052E-4,1.450226626914988E-7,0.0013781228226417243,3.5270719520327613E-4,5.078069288111023E-4,0.0012572564763703665,0.0015633816980393771,2.0787972245562495E-7,1.4125501624644355E-4,0.002261783408160738,0.001424567512209852,0.001327587848162331
tile,1.489921669712497E-4,1.981581595387195E-7,1.6424476806503567E-7,1.907860269840125E-7,2.5166894259280416E-7,0.00878474070458559,4.532908066703381E-4,2.5147907417475883E-7,0.0019157213940967702,0.001160552038848406,1.954853059560072E-7,2.3145608560542198E-7,1.8380751383059639E-7,1.5897053226831555E-7,1.5937590943878323E-7,1.450226626914988E-7,2.296488622965713E-7,0.001528006079586069,2.537765761174925E-7,1.795824134224206E-7,2.6052019630717833E-7,2.0787972245562495E-7,1.4111390234409948E-7,2.826875900713334E-7,2.034805759477006E-7,1.8981794543786504E-4
budget,0.008484218291236969,0.0019817797535467336,1.6424476806503567E-7,1.907860269840125E-7,7.552584967210053E-4,1.3725942883057437E-7,6.04337393364886E-4,2.5147907417475883E-7,1.3696429651388235E-4,0.0016578604400118424,5.866514031739776E-4,2.3145608560542198E-7,1.8380751383059639E-7,1.5897053226831555E-7,1.5937590943878323E-7,1.450226626914988E-7,9.188250980485818E-4,1.175298884382793E-7,5.078069288111023E-4,1.7976199583584298E-4,2.6052019630717833E-7,2.0787972245562495E-7,1.4111390234409948E-7,2.826875900713334E-7,0.0024419703919483548,1.896283171207443E-7
entri,0.006102725112875334,1.981581595387195E-7,1.6424476806503567E-7,1.907860269840125E-7,0.002013603209685026,1.3725942883057437E-7,0.0013595703268376252,2.5173055324893357E-4,0.0020525488631416076,1.657694670544788E-7,1.954853059560072E-7,6.945997129018714E-4,5.516063490056197E-4,1.5897053226831555E-7,3.189111947870052E-4,7.252583361201855E-4,2.296488622965713E-7,2.3517730676499686E-4,5.078069288111023E-4,1.795824134224206E-7,2.6052019630717833E-7,2.0787972245562495E-7,1.4111390234409948E-7,2.826875900713334E-7,0.0022384898160006544,1.896283171207443E-7
easier,1.4884332364760212E-7,1.983563176982582E-4,1.6440901283310068E-4,0.0024804091368191465,0.0010069274393138096,0.0012354721189039998,0.0015106169135321729,2.5147907417475883E-7,6.842741726932326E-4,1.657694670544788E-7,3.9116609721797036E-4,2.3145608560542198E-7,0.0012868364043280053,1.5897053226831555E-7,4.7828710422578846E-4,4.352130107371879E-4,2.2987851115886782E-4,8.228267489563933E-4,7.615835049285948E-4,1.7976199583584298E-4,0.0013028615017321987,8.317267695449555E-4,5.64596723278742E-4,2.826875900713334E-7,2.034805759477006E-7,1.896283171207443E-7
biggest,7.443654615616582E-4,0.0019817797535467336,6.571433170282077E-4,1.907860269840125E-7,0.0012585963819066138,8.236938324122768E-4,7.553839800594339E-4,7.546887015984512E-4,5.47446703648395E-4,8.290131047394485E-4,3.9116609721797036E-4,2.3145608560542198E-7,0.0014706439181586014,0.0011129526964104772,3.189111947870052E-4,1.450226626914988E-7,9.188250980485818E-4,1.175298884382793E-7,2.540303526936099E-4,1.795824134224206E-7,7.818211091178421E-4,8.317267695449555E-4,4.234828209346425E-4,5.656578677327381E-4,2.034805759477006E-7,1.896283171207443E-7
sprint,2.9783549061885184E-4,0.0013873052749305754,1.6440901283310068E-4,1.907860269840125E-7,5.035895541282011E-4,1.3739668825940492E-4,3.022442199757902E-4,7.546887015984512E-4,1.3696429651388235E-4,1.657694670544788E-7,1.9568079126196317E-4,4.631436272964494E-4,3.6779883517502334E-4,1.5912950280058384E-4,0.001593918470297271,0.0018854396376521757,0.0011484739603451531,3.5270719520327613E-4,0.0010153600810460875,8.980916495255253E-4,5.213009128106638E-4,0.0014553659369118304,9.879384303110405E-4,8.483454578040715E-4,2.034805759477006E-7,0.003603127653611263
question,7.443654615616582E-4,1.981581595387195E-7,3.2865378089813634E-4,7.633348939630341E-4,2.5166894259280416E-7,9.609532612428512E-4,1.5104658669454785E-7,2.5173055324893357E-4,1.3696429651388235E-4,1.657694670544788E-7,7.821367091299849E-4,2.3168754169102738E-4,1.8380751383059639E-7,1.5897053226831555E-7,0.0017532943797360543,2.9019034804568907E-4,0.0036746114456074376,8.228267489563933E-4,2.537765761174925E-7,8.980916495255253E-4,2.6078071650348546E-4,2.0787972245562495E-7,0.0032457608678166322,2.826875900713334E-7,6.106452084190495E-4,1.896283171207443E-7
cut,0.0014885820797996686,1.981581595387195E-7,0.001478367157353386,1.907860269840125E-7,2.5166894259280416E-7,1.3725942883057437E-7,0.0012085237401430772,0.0017606049982974866,1.3682746904483755E-7,4.974741706304909E-4,5.866514031739776E-4,4.631436272964494E-4,0.002941104028803373,9.539821641421617E-4,1.5937590943878323E-7,0.0014503716495776794,2.296488622965713E-7,2.3517730676499686E-4,2.537765761174925E-7,3.5934440925826356E-4,2.6052019630717833E-7,2.0787972245562495E-7,2.8236891859054306E-4,2.826875900713334E-7,2.034805759477006E-7,9.483312139208424E-4
incred,0.001637425403447271,7.928307963144168E-4,1.6424476806503567E-7,1.907860269840125E-7,0.0010069274393138096,5.49174974751128E-4,0.0010574771534485295,2.5147907417475883E-7,1.3682746904483755E-7,6.632436376849697E-4,9.776220150859922E-4,9.260557985072934E-4,0.0023896814873115833,7.950116318738461E-4,3.189111947870052E-4,1.4516768535419028E-4,0.0011484739603451531,7.052968605181141E-4,5.078069288111023E-4,5.389268226806841E-4,5.213009128106638E-4,6.238470470893304E-4,1.4125501624644355E-4,2.826875900713334E-7,6.106452084190495E-4,1.896283171207443E-7
unlimit,0.0011908954325044645,1.981581595387195E-7,1.6440901283310068E-4,1.907860269840125E-7,2.5166894259280416E-7,1.3739668825940492E-4,3.022442199757902E-4,2.5147907417475883E-7,1.3682746904483755E-7,1.6593523652153326E-4,1.9568079126196317E-4,2.3145608560542198E-7,5.516063490056197E-4,1.5897053226831555E-7,1.5937590943878323E-7,0.0073963008199291295,6.891762357520104E-4,8.228267489563933E-4,2.537765761174925E-7,1.795824134224206E-7,2.6078071650348546E-4,2.0787972245562495E-7,2.8236891859054306E-4,2.826875900713334E-7,6.106452084190495E-4,1.896283171207443E-7
accept,7.443654615616582E-4,1.981581595387195E-7,0.001478367157353386,1.907860269840125E-7,2.5166894259280416E-7,1.3739668825940492E-4,9.064305667539817E-4,2.5173055324893357E-4,0.00136841151791742,9.947825717939274E-4,1.954853059560072E-7,2.3145608560542198E-7,9.192213766668126E-4,1.5897053226831555E-7,1.5937590943878323E-7,0.0011603263241946819,2.2987851115886782E-4,0.001057886525832952,2.537765761174925E-7,0.001077674062947946,7.818211091178421E-4,2.0787972245562495E-7,0.0015523940396874381,2.826875900713334E-7,2.034805759477006E-7,0.0011379595310415866
period,0.0010420521088568625,3.965144772369777E-4,4.92898548963172E-4,1.907860269840125E-7,2.5166894259280416E-7,1.3725942883057437E-7,1.5104658669454785E-7,7.546887015984512E-4,9.579291107829076E-4,4.974741706304909E-4,0.0023460191567780423,0.0011575118841127155,1.8380751383059639E-7,1.5897053226831555E-7,1.59535285348222E-4,8.702809988116844E-4,9.188250980485818E-4,7.052968605181141E-4,2.540303526936099E-4,5.389268226806841E-4,5.213009128106638E-4,0.0010396064920005805,0.002116849649063836,2.826875900713334E-7,2.034805759477006E-7,1.896283171207443E-7
protector,8.932087852092604E-4,1.983563176982582E-4,6.571433170282077E-4,0.007250059811419459,2.5192061153539696E-4,2.746561170899793E-4,1.5104658669454785E-7,0.004275395740045075,1.3696429651388235E-4,1.657694670544788E-7,3.9116609721797036E-4,0.0011575118841127155,0.0012868364043280053,1.5897053226831555E-7,6.376630136645718E-4,1.4516768535419028E-4,2.296488622965713E-7,1.1764741832671757E-4,7.615835049285948E-4,1.795824134224206E-7,0.0010423413054250206,2.0787972245562495E-7,1.4111390234409948E-7,2.826875900713334E-7,2.034805759477006E-7,1.8981794543786504E-4
bottom,0.0014885820797996686,1.981581595387195E-7,1.6424476806503567E-7,1.907860269840125E-7,2.5166894259280416E-7,6.864344035817024E-4,9.064305667539817E-4,0.005532791110918869,0.0020525488631416076,1.657694670544788E-7,1.954853059560072E-7,4.631436272964494E-4,1.8380751383059639E-7,4.770705673372149E-4,7.97038923103355E-4,0.0010153036615031831,0.0011484739603451531,1.175298884382793E-7,0.0010153600810460875,1.795824134224206E-7,2.6052019630717833E-7,2.0787972245562495E-7,5.64596723278742E-4,2.826875900713334E-7,2.034805759477006E-7,0.0011379595310415866
