,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14
pencil,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,5.634954339120856E-4,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,3.448873346793241E-5,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.3440586309714072E-4,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0278054465517278E-4,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
innov,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,2.11332797881784E-4,2.1106081062969783E-7,7.180274602106266E-5,1.706201924561647E-7,4.823943629216002E-4,2.651836887634511E-7,8.446565264567772E-5,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
backlit,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,2.11332797881784E-4,2.1106081062969783E-7,3.5872680604528913E-4,1.706201924561647E-7,3.4454279188743675E-8,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,4.955930858736813E-4,1.6027256593653432E-7,4.601298782996149E-4,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,8.754307517221542E-5,1.0615293176882313E-7,3.3351443166973E-7
visit,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,2.3781874218487323E-4,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,3.445772461666255E-4,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.751417362057511E-4,2.2696503310038995E-4,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.3440586309714072E-4,3.396311130628579E-7,8.650989746760443E-8,1.701006289131701E-4,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
startup,2.122254147998789E-7,7.76662143685861E-4,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,4.2233268207002533E-4,7.173101500605661E-8,1.7079081264862085E-4,3.448873346793241E-5,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,0.001360656507128312,3.9994064880771695E-7,2.730965023731567E-4,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,2.5961620230028086E-4,4.2514528596143485E-8,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,0.0010008768094408595
alright,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,3.5666868830425017E-4,1.3058289199580412E-7,4.187848373932856E-4,1.056840070726935E-4,2.1106081062969783E-7,7.173101500605661E-8,1.7079081264862085E-4,6.894301265667609E-5,2.651836887634511E-7,1.6884692401998114E-4,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6530779038972175E-4,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,6.796018572387786E-4,8.650989746760443E-8,1.2758610031702658E-4,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
refresh,2.122254147998789E-7,2.588011141905568E-7,3.225353567900301E-4,2.3781874218487323E-4,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,1.0339729184541977E-4,2.651836887634511E-7,8.438127137430343E-8,4.2233268207002533E-4,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,1.2758610031702658E-4,2.0257796668848433E-7,8.745561955266276E-8,8.493296070823538E-4,3.3351443166973E-7
execut,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.396879780841982E-4,3.521626360303016E-8,2.1127187144032752E-4,1.4353376102711928E-4,1.706201924561647E-7,2.4121440860039447E-4,2.651836887634511E-7,3.3760946676858803E-4,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,1.7499869472487818E-4,3.1856494823823817E-4,3.3351443166973E-7
compromis,2.122254147998789E-7,2.588011141905568E-7,1.6134827193744136E-4,2.3781874218487323E-4,1.3058289199580412E-7,4.187848373932856E-4,1.4090027067572368E-4,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,2.4121440860039447E-4,2.651836887634511E-7,2.5322819539428456E-4,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.3997074417592074E-4,8.650989746760443E-8,8.50715717208831E-5,2.0257796668848433E-7,8.745561955266276E-8,2.1241201646941506E-4,3.3351443166973E-7
highlight,2.122254147998789E-7,2.588011141905568E-7,4.837224416426189E-4,1.1884994611937693E-7,1.3058289199580412E-7,1.396879780841982E-4,3.521978522939046E-4,2.1106081062969783E-7,7.180274602106266E-5,1.7079081264862085E-4,3.4454279188743675E-8,2.651836887634511E-7,8.438127137430343E-8,2.1127187144032752E-4,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,8.50715717208831E-5,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
