,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
station,5.9439927432221255E-5,7.239180498732528E-5,3.7725594529345636E-4,6.22334386240137E-8,1.3840536545241608E-4,7.315200666611467E-4,9.173208793605888E-4,0.00169752622391471,0.001586332817286086,5.5027802246807174E-8,3.1878872713342245E-4,1.889009577360387E-4,2.58405874659333E-4,3.0183154722009223E-4,1.2433740596361988E-7,0.0017576215710607855
negat,8.907675838269242E-4,7.231948550182346E-8,6.601271864532586E-4,7.468634969267883E-4,5.534139575136337E-4,7.321783688909187E-5,5.003947456633846E-4,4.8506522878492337E-4,3.6617066261637906E-4,1.6513843454266832E-4,2.3911146466568377E-4,6.294600391070933E-8,0.0012915128198240826,4.0240853729676414E-4,7.461487731876829E-4,9.250152997530579E-8
rca,1.7820102120289313E-4,7.239180498732528E-5,2.829655315735222E-4,3.112294265586925E-4,3.4590966148302497E-4,8.046647588580417E-4,5.837799724028255E-4,4.8506522878492337E-4,2.441544471494084E-4,1.6513843454266832E-4,3.1878872713342245E-4,5.665769812002947E-4,5.166826109505204E-4,0.005330681051053685,2.4879914933320337E-4,7.401047413324217E-4
aspect,5.938648494002446E-4,0.0013741425440201478,3.7725594529345636E-4,6.22334386240137E-8,4.150777601598946E-4,2.1950722128288183E-4,5.003947456633846E-4,0.0010508803598454906,1.2213823168243765E-4,2.751940390362827E-4,8.765295644075932E-4,1.2595495382532936E-4,5.166826109505204E-4,3.0183154722009223E-4,4.974739612604432E-4,0.001017609331258339
hassl,1.7820102120289313E-4,5.063087179982661E-4,1.886751178535881E-4,0.0014936647604149528,1.3840536545241608E-4,1.4636252908598686E-4,2.50239065445062E-4,4.0423449577627095E-4,1.2213823168243765E-4,4.953052480235114E-4,7.967726246773868E-8,5.665769812002947E-4,5.166826109505204E-4,1.0057699007667185E-7,0.0011191609910785425,9.250152997530579E-8
sort,3.563426618589009E-4,0.001084864602012854,9.42904137199341E-8,5.601631810547473E-4,6.916809867686961E-8,2.9265191347977685E-4,6.671651991422662E-4,3.234037627676185E-4,1.220162154669707E-7,2.751940390362827E-4,3.1878872713342245E-4,3.147929655574574E-4,5.166826109505204E-4,9.052934876801233E-4,6.21811367224063E-4,7.401047413324217E-4
fan,4.7510375562957274E-4,7.232671745037364E-4,9.429984276130609E-4,1.245291106866514E-4,7.609182535442425E-4,2.9265191347977685E-4,0.0010840913328394705,8.09115637416611E-5,6.102030935503205E-4,1.6513843454266832E-4,7.968523019398544E-4,8.813070007538413E-4,3.875442428049267E-4,6.035625174501078E-4,1.2446174336958347E-4,9.250152997530579E-8
wash,0.0018408563339922992,7.239180498732528E-5,2.829655315735222E-4,1.245291106866514E-4,2.075734641292857E-4,7.321783688909187E-5,2.50239065445062E-4,4.0423449577627095E-4,4.8818687808334984E-4,1.1011063229586115E-4,0.0023903975512946283,1.2595495382532936E-4,1.291383681455937E-7,1.0057699007667185E-7,7.461487731876829E-4,9.250152997530579E-8
claim,4.1572320874423685E-4,3.6166974699461917E-4,1.886751178535881E-4,5.601631810547473E-4,1.3840536545241608E-4,1.4636252908598686E-4,3.3362429218450286E-4,3.234037627676185E-4,7.322193090172912E-4,6.603886547639329E-4,3.1878872713342245E-4,0.0011330910163966789,6.458209790961142E-4,5.02985527373436E-4,4.974739612604432E-4,9.250152997530579E-8
separ,3.563426618589009E-4,9.402256310092068E-4,9.42904137199341E-8,2.4899598793467884E-4,4.8424585883676414E-4,5.852306822673567E-4,8.338522673944085E-8,5.658959617935758E-4,1.2213823168243765E-4,3.85249643529897E-4,7.967726246773868E-8,6.29522985111004E-4,6.458209790961142E-4,8.047164976034514E-4,1.2433740596361988E-7,0.0012951139211842563
retail,3.563426618589009E-4,2.893502614927957E-4,4.7154635901339046E-4,0.0019292988307830488,1.3840536545241608E-4,4.3894129787356683E-4,2.50239065445062E-4,8.083073300865246E-8,2.441544471494084E-4,5.5027802246807174E-8,5.578205145366386E-4,6.924689890217133E-4,1.291383681455937E-7,4.0240853729676414E-4,2.4879914933320337E-4,4.6260015140650433E-4
